Metric name;Type;Description;Unit (where applicable);option parameter;additional build flag
container_memory_rss;Gauge;Size of RSS;bytes;memory;
container_memory_swap;Gauge;Container swap usage;bytes;memory;
container_memory_usage_bytes;Gauge;Current memory usage, including all memory regardless of when it was accessed;bytes;memory;
container_memory_working_set_bytes;Gauge;Current working set;bytes;memory;
container_network_advance_tcp_stats_total;Gauge;advanced tcp connections statistic for container;;advtcp;
container_network_receive_bytes_total;Counter;Cumulative count of bytes received;bytes;network;
container_network_receive_errors_total;Counter;Cumulative count of errors encountered while receiving;;network;
container_network_receive_packets_dropped_total;Counter;Cumulative count of packets dropped while receiving;;network;
container_network_receive_packets_total;Counter;Cumulative count of packets received;;network;
container_network_tcp6_usage_total;Gauge;tcp6 connection usage statistic for container;;tcp;
container_network_tcp_usage_total;Gauge;tcp connection usage statistic for container;;tcp;
container_network_transmit_bytes_total;Counter;Cumulative count of bytes transmitted;bytes;network;
container_network_transmit_errors_total;Counter;Cumulative count of errors encountered while transmitting;;network;
container_network_transmit_packets_dropped_total;Counter;Cumulative count of packets dropped while transmitting;;network;
container_network_transmit_packets_total;Counter;Cumulative count of packets transmitted;;network;
container_network_udp6_usage_total;Gauge;udp6 connection usage statistic for container;;udp;
container_network_udp_usage_total;Gauge;udp connection usage statistic for container;;udp;
container_oom_events_total;Counter;Count of out of memory events observed for the container;;oom_event;
container_perf_events_scaling_ratio;Gauge;Scaling ratio for perf event counter (event can be identified by event label and cpu indicates the core for which event was measured). See perf event configuration.;;perf_event;libpfm
container_perf_events_total;Counter;Scaled counter of perf core event (event can be identified by event label and cpu indicates the core for which event was measured). See perf event configuration.;;perf_event;libpfm
container_perf_uncore_events_scaling_ratio;Gauge;"Scaling ratio for perf uncore event counter (event can be identified by event label, pmu and socket lables indicate the PMU and the CPU socket for which event was measured). See perf event configuration. Metric exists only for main cgroup (id=""/"").";;perf_event;libpfm
container_perf_uncore_events_total;Counter;"Scaled counter of perf uncore event (event can be identified by event label, pmu and socket lables indicate the PMU and the CPU socket for which event was measured). See perf event configuration). Metric exists only for main cgroup (id=""/"").";;perf_event;libpfm
container_processes;Gauge;Number of processes running inside the container;;process;
container_referenced_bytes;Gauge;"Container referenced bytes during last measurements cycle based on Referenced field in /proc/smaps file, with /proc/PIDs/clear_refs set to 1 after defined number of cycles configured through referenced_reset_interval cAdvisor parameter.
Warning: this is intrusive collection because can influence kernel page reclaim policy and add latency. Refer to https://github.com/brendangregg/wss#wsspl-referenced-page-flag for more details.";bytes;referenced_memory;
container_sockets;Gauge;Number of open sockets for the container;;process;
container_spec_cpu_period;Gauge;CPU period of the container;;-;
container_spec_cpu_quota;Gauge;CPU quota of the container;;-;
container_spec_cpu_shares;Gauge;CPU share of the container;;-;
container_spec_memory_limit_bytes;Gauge;Memory limit for the container;bytes;-;
container_spec_memory_reservation_limit_bytes;Gauge;Memory reservation limit for the container;bytes;;
container_spec_memory_swap_limit_bytes;Gauge;Memory swap limit for the container;bytes;;
container_start_time_seconds;Gauge;Start time of the container since unix epoch;seconds;;
container_tasks_state;Gauge;Number of tasks in given state (sleeping, running, stopped, uninterruptible, or ioawaiting);;cpuLoad;
container_threads;Gauge;Number of threads running inside the container;;process;
container_threads_max;Gauge;Maximum number of threads allowed inside the container;;process;
